Buffer Number,Packet,Start Time,End Time,ID,RTR,FDF,DLC,Data,CRC,ACK,CRC Valid,Bit Stuffing Valid,Valid,IDE
1,44,0.612512316277474,0.612796396275857,18F40117,0,0,8,00 00 00 00 00 00 00 06,20 72,0,1,1,1,1
1,45,0.626322876193541,0.626608636191913,18F40117,0,0,8,00 00 00 00 00 00 00 10,1B 81,0,1,1,1,1
1,46,0.646626956070143,0.646912636068516,18F40117,0,0,8,00 00 00 00 00 00 00 10,1B 81,0,1,1,1,1
1,47,0.662510075973614,0.662794155971997,18F40117,0,0,8,00 00 00 00 00 00 00 02,78 BD,0,1,1,1,1
1,48,0.665713515954145,0.665999195952518,18F40117,0,0,8,00 00 00 00 00 00 00 10,1B 81,0,1,1,1,1
1,49,0.684913515837458,0.68519927583583,18F40117,0,0,8,00 00 00 00 00 00 00 10,1B 81,0,1,1,1,1
1,50,0.70630207570747,0.706587755705842,18F40117,0,0,8,00 00 00 00 00 00 00 10,1B 81,0,1,1,1,1
1,51,0.712509515669744,0.712793595668127,18F40117,0,0,8,00 00 00 00 00 00 00 02,78 BD,0,1,1,1,1
1,52,0.726543675584452,0.726829355582825,18F40117,0,0,8,00 00 00 00 00 00 00 10,1B 81,0,1,1,1,1
1,53,0.745769515467607,0.74605527546598,18F40117,0,0,8,00 00 00 00 00 00 00 10,1B 81,0,1,1,1,1
1,54,0.762506635365888,0.762790715364258,18F40117,0,0,8,00 00 00 00 00 00 00 07,65 EB,0,1,1,1,1
1,55,0.766534955341406,0.766820715339778,18F40117,0,0,8,00 00 00 00 00 00 00 10,1B 81,0,1,1,1,1
1,56,0.785126715228415,0.785412395226788,18F40117,0,0,8,00 00 00 00 00 00 00 10,1B 81,0,1,1,1,1
1,57,0.806289995099796,0.806575755098168,18F40117,0,0,8,00 00 00 00 00 00 00 10,1B 81,0,1,1,1,1
1,58,0.812505515062021,0.812789595060404,18F40117,0,0,8,00 00 00 00 00 00 00 02,78 BD,0,1,1,1,1
1,59,0.826520314976847,0.826806074975219,18F40117,0,0,8,00 00 00 00 00 00 00 10,1B 81,0,1,1,1,1
1,60,0.845039674864296,0.845325434862668,18F40117,0,0,8,00 00 00 00 00 00 00 10,1B 81,0,1,1,1,1
1,61,0.862502794758164,0.862786874756547,18F40117,0,0,8,00 00 00 00 00 00 00 06,20 72,0,1,1,1,1
1,62,0.866285354735176,0.866571114733548,18F40117,0,0,8,00 00 00 00 00 00 00 10,1B 81,0,1,1,1,1
1,63,0.885729034617007,0.88601471461538,18F40117,0,0,8,00 00 00 00 00 00 00 10,1B 81,0,1,1,1,1
1,64,0.906506074490736,0.906791834489108,18F40117,0,0,8,00 00 00 00 00 00 00 10,1B 81,0,1,1,1,1
1,65,0.912501594454298,0.91278367445268,18F40117,0,0,8,00 00 00 00 00 00 00 04,6E D9,0,1,1,1,1
1,66,0.925047994378048,0.92533375437642,18F40117,0,0,8,00 00 00 00 00 00 00 10,1B 81,0,1,1,1,1
1,67,0.946194074249533,0.946479834247905,18F40117,0,0,8,00 00 00 00 00 00 00 10,1B 81,0,1,1,1,1
1,68,0.962499194150439,0.96278319414881,18F40117,0,0,8,00 00 00 00 00 00 00 02,78 BD,0,1,1,1,1
1,69,0.966347434127051,0.966633114125424,18F40117,0,0,8,00 00 00 00 00 00 00 10,1B 81,0,1,1,1,1
1,70,0.986593034004009,0.986878714002382,18F40117,0,0,8,00 00 00 00 00 00 00 10,1B 81,0,1,1,1,1
